Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
less than 0,12,existing credits paid back till now,new car,900,unkown/no savings account,less than 4 years,4,male : married/widowed,none,2,car or other,23,,own,1,skilled employee,1,none,Y,0
no checking account,21,existing credits paid back till now,furniture/equipment,2241,less than 116,greater than 7 years,4,male : single,none,2,real estate,50,,own,2,skilled employee,1,none,Y,1
less than 116,6,delay in paying off in the past,furniture/equipment,1050,less than 116,unemployed,4,male : single,none,1,building society saving agreement/life insurance,35,stores,own,2,self_employed/highly qualified employee,1,yes,Y,1
greater than or equal to 116,6,critical account/ other credits existing,education,1047,less than 116,less than 4 years,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,50,,own,1,unskilled,1,none,Y,1
no checking account,24,critical account/ other credits existing,others,6314,less than 116,unemployed,4,male : single,co-applicant,2,unkown/no property,27,none,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,30,all credits at this bank paid back,furniture/equipment,3496,greater than 582,less than 4 years,4,male : single,none,2,car or other,34,stores,own,1,skilled employee,2,yes,Y,1
no checking account,48,all credits at this bank paid back,business,3609,less than 116,less than 4 years,1,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee,1,none,Y,1
less than 0,12,critical account/ other credits existing,new car,4843,less than 116,greater than 7 years,3,male : single,co-applicant,4,building society saving agreement/life insurance,43,,rent,2,skilled employee,1,yes,Y,0
greater than or equal to 116,30,critical account/ other credits existing,radio/television,3017,less than 116,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,47,,own,1,skilled employee,1,none,Y,1
no checking account,24,critical account/ other credits existing,business,4139,less than 291,less than 4 years,3,male : single,none,3,building society saving agreement/life insurance,27,,own,2,unskilled,1,yes,Y,1
no checking account,36,existing credits paid back till now,business,5742,less than 291,less than 7 years,2,male : single,none,2,car or other,31,,own,2,skilled employee,1,yes,Y,1
no checking account,60,existing credits paid back till now,new car,10366,less than 116,greater than 7 years,2,male : single,none,4,building society saving agreement/life insurance,42,,own,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,6,critical account/ other credits existing,new car,2080,less than 582,less than 4 years,1,male : married/widowed,none,2,car or other,24,,own,1,skilled employee,1,none,Y,1
no checking account,21,delay in paying off in the past,business,2580,less than 582,less than 1 year,4,male : single,none,2,real estate,41,none,own,1,unskilled,2,none,Y,0
no checking account,30,critical account/ other credits existing,radio/television,4530,less than 116,less than 7 years,4,female : divorced/separated/married,none,4,car or other,26,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,24,critical account/ other credits existing,furniture/equipment,5150,less than 116,greater than 7 years,4,male : single,none,4,car or other,33,,own,1,skilled employee,1,yes,Y,1
less than 116,72,existing credits paid back till now,radio/television,5595,less than 291,less than 4 years,2,male : married/widowed,none,2,car or other,24,,own,1,skilled employee,1,none,Y,0
less than 0,24,existing credits paid back till now,radio/television,2384,less than 116,greater than 7 years,4,male : single,none,4,real estate,64,none,rent,1,unskilled,1,none,Y,1
no checking account,18,existing credits paid back till now,radio/television,1453,less than 116,less than 1 year,3,female : divorced/separated/married,none,1,real estate,26,,own,1,skilled employee,1,none,Y,1
no checking account,6,existing credits paid back till now,education,1538,less than 116,less than 1 year,1,female : divorced/separated/married,none,2,unkown/no property,56,,own,1,skilled employee,1,none,Y,1
no checking account,12,existing credits paid back till now,radio/television,2279,unkown/no savings account,less than 4 years,4,male : single,none,4,unkown/no property,37,,for free,1,skilled employee,1,yes,Y,1
no checking account,15,delay in paying off in the past,radio/television,1478,less than 116,less than 4 years,4,male : married/widowed,none,3,real estate,33,none,own,2,skilled employee,1,none,Y,1
no checking account,24,critical account/ other credits existing,radio/television,5103,less than 116,less than 1 year,3,male : married/widowed,none,3,unkown/no property,47,,for free,3,skilled employee,1,yes,Y,1
less than 116,36,delay in paying off in the past,business,9857,less than 291,less than 7 years,1,male : single,none,3,building society saving agreement/life insurance,31,,own,2,unskilled,2,yes,Y,1
no checking account,60,existing credits paid back till now,new car,6527,unkown/no savings account,less than 4 years,4,male : single,none,4,unkown/no property,34,,for free,1,skilled employee,2,yes,Y,1
greater than or equal to 116,10,critical account/ other credits existing,radio/television,1347,unkown/no savings account,less than 7 years,4,male : single,none,2,building society saving agreement/life insurance,27,,own,2,skilled employee,1,yes,Y,1
less than 116,36,delay in paying off in the past,new car,2862,less than 291,greater than 7 years,4,male : single,none,3,unkown/no property,30,,for free,1,skilled employee,1,none,Y,1
no checking account,9,existing credits paid back till now,radio/television,2753,less than 291,greater than 7 years,3,male : single,co-applicant,4,car or other,35,,own,1,skilled employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,new car,3651,greater than 582,less than 4 years,1,male : single,none,3,building society saving agreement/life insurance,31,,own,1,skilled employee,2,none,Y,1
less than 0,15,critical account/ other credits existing,furniture/equipment,975,less than 116,less than 4 years,2,male : divocred/separated,none,3,building society saving agreement/life insurance,25,,own,2,skilled employee,1,none,Y,1
less than 116,15,existing credits paid back till now,repairs,2631,less than 291,less than 4 years,3,female : divorced/separated/married,none,2,real estate,25,,own,1,unskilled,1,none,Y,1
less than 116,24,existing credits paid back till now,radio/television,2896,less than 291,less than 1 year,2,male : single,none,1,car or other,29,,own,1,skilled employee,1,none,Y,1
less than 0,6,critical account/ other credits existing,new car,4716,unkown/no savings account,less than 1 year,1,male : single,none,3,real estate,44,,own,2,unskilled,2,none,Y,1
no checking account,24,existing credits paid back till now,radio/television,2284,less than 116,less than 7 years,4,male : single,none,2,car or other,28,,own,1,skilled employee,1,yes,Y,1
no checking account,6,existing credits paid back till now,used car,1236,less than 582,less than 4 years,2,male : single,none,4,building society saving agreement/life insurance,50,,rent,1,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,radio/television,1103,less than 116,less than 7 years,4,male : single,guarantor,3,real estate,29,,own,2,skilled employee,1,none,N,1
no checking account,12,critical account/ other credits existing,new car,926,less than 116,unemployed,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,38,,own,1,unemployed,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,1800,less than 116,less than 4 years,4,male : single,none,2,car or other,24,,own,2,skilled employee,1,none,Y,1
greater than or equal to 116,15,existing credits paid back till now,education,1905,less than 116,greater than 7 years,4,male : single,none,4,car or other,40,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,existing credits paid back till now,furniture/equipment,1123,less than 582,less than 4 years,4,female : divorced/separated/married,none,4,car or other,29,,rent,1,unskilled,1,none,Y,0
less than 0,48,critical account/ other credits existing,used car,6331,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,46,,for free,2,skilled employee,1,yes,Y,0
greater than or equal to 116,24,existing credits paid back till now,radio/television,1377,less than 291,greater than 7 years,4,female : divorced/separated/married,none,2,unkown/no property,47,,for free,1,skilled employee,1,yes,Y,1
less than 116,30,delay in paying off in the past,business,2503,less than 291,greater than 7 years,4,male : single,none,2,building society saving agreement/life insurance,41,stores,own,2,skilled employee,1,none,Y,1
less than 116,27,existing credits paid back till now,business,2528,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,building society saving agreement/life insurance,32,,own,1,skilled employee,2,yes,Y,1
no checking account,15,existing credits paid back till now,new car,5324,less than 582,greater than 7 years,1,female : divorced/separated/married,none,4,unkown/no property,35,,for free,1,skilled employee,1,none,Y,1
less than 116,48,existing credits paid back till now,new car,6560,less than 291,less than 7 years,3,male : single,none,2,building society saving agreement/life insurance,24,,own,1,skilled employee,1,none,Y,0
less than 116,12,no credits taken/all credit paid back,furniture/equipment,2969,less than 116,less than 1 year,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,25,,rent,2,skilled employee,1,none,Y,0
less than 116,9,existing credits paid back till now,radio/television,1206,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,real estate,25,,own,1,skilled employee,1,none,Y,1
less than 116,9,existing credits paid back till now,radio/television,2118,less than 116,less than 4 years,2,male : single,none,2,real estate,37,,own,1,unskilled,2,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,629,less than 582,greater than 7 years,4,male : single,none,3,building society saving agreement/life insurance,32,none,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 0,6,all credits at this bank paid back,education,1198,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,unkown/no property,35,,for free,1,skilled employee,1,none,Y,0
